household_id,PRODUCT_ID,CAMPAIGN,DESCRIPTION,START_DAY,END_DAY,MANUFACTURER,DEPARTMENT,BRAND,COMMODITY_DESC,SUB_COMMODITY_DESC,CURR_SIZE_OF_PRODUCT,basket_id,week_no,day,transaction_time,store_id,campaign_coupon_discount,manuf_coupon_discount,units,amount_list,manuf_coupon_match_discount,total_coupon_discount,instore_discount,amount_paid,AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,redemption_type,campaign_availed_day,discount_availed,sales_during_campaign
105,835715,1,TypeB,346,383,407,GROCERY,National,FRUIT - SHELF STABLE,PEACHES,15 OZ,"","","","","","","","","","","","","",25-34,B,Under 15K,Homeowner,1 Adult Kids,3,2,no_discount,na,not_redeemed,0.0
513,1095329,2,TypeB,351,383,282,GROCERY,National,FRZN VEGETABLE/VEG DSH,FRZN BOXED VEGETABLES - PLAIN,10 OZ,"","","","","","","","","","","","","",45-54,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,no_discount,na,not_redeemed,0.0
98,936270,3,TypeC,356,412,69,DRUG GM,Private,SINUS AND ALLERGY,SINUS AND ALLERGY,"","","","","","","","","","","","","","",35-44,U,35-49K,Unknown,1 Adult Kids,2,1,private_label,na,not_redeemed,0.0
321,937489,4,TypeB,372,404,531,GROCERY,National,BAKING NEEDS,BITS & MORSELS,11.5 OZ,"","","","","","","","","","","","","",45-54,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown,no_discount,na,not_redeemed,0.0
329,908064,4,TypeB,372,404,1225,GROCERY,National,REFRGRATD DOUGH PRODUCTS,REFRIGERATED COOKIES-CHUB,16.5 OZ,"","","","","","","","","","","","","",25-34,U,75-99K,Unknown,Single Female,1,None/Unknown,no_discount,na,not_redeemed,0.0
1166,937489,4,TypeB,372,404,531,GROCERY,National,BAKING NEEDS,BITS & MORSELS,11.5 OZ,"","","","","","","","","","","","","",45-54,A,125-149K,Homeowner,2 Adults Kids,3,1,no_discount,na,not_redeemed,0.0
586,993390,5,TypeB,377,411,177,DRUG GM,National,BABY FOODS,BABY FOOD - BEGINNER,"","","","","","","","","","","","","","",19-24,A,35-49K,Renter,2 Adults Kids,3,1,no_discount,na,not_redeemed,0.0
588,859877,5,TypeB,377,411,764,DRUG GM,National,DIAPERS & DISPOSABLES,BABY DIAPERS,40 CT,"","","","","","","","","","","","","",35-44,A,50-74K,Homeowner,2 Adults Kids,5+,3+,no_discount,na,not_redeemed,0.0
1084,1101885,5,TypeB,377,411,177,DRUG GM,National,BABY FOODS,BABY FOOD - BEGINNER,"","","","","","","","","","","","","","",25-34,U,35-49K,Unknown,2 Adults Kids,3,1,no_discount,na,not_redeemed,0.0
1,998270,8,TypeA,412,460,69,GROCERY,Private,FRZN NOVELTIES/WTR ICE,ICE CREAM SANDWICHES,12 CT,"","","","","","","","","","","","","",65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,private_label,na,not_redeemed,0.0
