date,store,item,sales
2013-01-01,7,19,6
2013-01-02,7,19,13
2013-01-03,7,19,10
2013-01-04,7,19,19
2013-01-05,7,19,23
2013-01-06,7,19,12
2013-01-07,7,19,13
2013-01-08,7,19,14
2013-01-09,7,19,11
2013-01-10,7,19,15
2013-01-11,7,19,14
2013-01-12,7,19,23
2013-01-13,7,19,21
2013-01-14,7,19,12
2013-01-15,7,19,15
2013-01-16,7,19,15
2013-01-17,7,19,19
2013-01-18,7,19,10
2013-01-19,7,19,13
2013-01-20,7,19,18
2013-01-21,7,19,11
2013-01-22,7,19,17
2013-01-23,7,19,22
2013-01-24,7,19,20
2013-01-25,7,19,15
2013-01-26,7,19,19
2013-01-27,7,19,14
2013-01-28,7,19,15
2013-01-29,7,19,16
2013-01-30,7,19,10
2013-01-31,7,19,12
2013-02-01,7,19,13
2013-02-02,7,19,20
2013-02-03,7,19,15
2013-02-04,7,19,9
2013-02-05,7,19,17
2013-02-06,7,19,18
2013-02-07,7,19,24
2013-02-08,7,19,21
2013-02-09,7,19,15
2013-02-10,7,19,20
2013-02-11,7,19,16
2013-02-12,7,19,15
2013-02-13,7,19,18
2013-02-14,7,19,16
2013-02-15,7,19,15
2013-02-16,7,19,20
2013-02-17,7,19,23
2013-02-18,7,19,15
2013-02-19,7,19,17
2013-02-20,7,19,16
2013-02-21,7,19,13
2013-02-22,7,19,21
2013-02-23,7,19,17
2013-02-24,7,19,16
2013-02-25,7,19,16
2013-02-26,7,19,15
2013-02-27,7,19,22
2013-02-28,7,19,19
2013-03-01,7,19,22
2013-03-02,7,19,19
2013-03-03,7,19,28
2013-03-04,7,19,20
2013-03-05,7,19,26
2013-03-06,7,19,21
2013-03-07,7,19,26
2013-03-08,7,19,19
2013-03-09,7,19,26
2013-03-10,7,19,28
2013-03-11,7,19,21
2013-03-12,7,19,22
2013-03-13,7,19,17
2013-03-14,7,19,26
2013-03-15,7,19,22
2013-03-16,7,19,24
2013-03-17,7,19,18
2013-03-18,7,19,15
2013-03-19,7,19,19
2013-03-20,7,19,15
2013-03-21,7,19,19
2013-03-22,7,19,24
2013-03-23,7,19,19
2013-03-24,7,19,16
2013-03-25,7,19,29
2013-03-26,7,19,17
2013-03-27,7,19,24
2013-03-28,7,19,19
2013-03-29,7,19,14
2013-03-30,7,19,21
2013-03-31,7,19,25
2013-04-01,7,19,33
2013-04-02,7,19,16
2013-04-03,7,19,19
2013-04-04,7,19,34
2013-04-05,7,19,22
2013-04-06,7,19,23
2013-04-07,7,19,23
2013-04-08,7,19,19
2013-04-09,7,19,45
2013-04-10,7,19,28
2013-04-11,7,19,31
2013-04-12,7,19,15
2013-04-13,7,19,26
2013-04-14,7,19,21
2013-04-15,7,19,27
2013-04-16,7,19,23
2013-04-17,7,19,13
2013-04-18,7,19,22
2013-04-19,7,19,28
2013-04-20,7,19,32
2013-04-21,7,19,36
2013-04-22,7,19,19
2013-04-23,7,19,25
2013-04-24,7,19,27
2013-04-25,7,19,26
2013-04-26,7,19,30
2013-04-27,7,19,24
2013-04-28,7,19,28
2013-04-29,7,19,19
2013-04-30,7,19,21
2013-05-01,7,19,32
2013-05-02,7,19,26
2013-05-03,7,19,28
2013-05-04,7,19,30
2013-05-05,7,19,31
2013-05-06,7,19,20
2013-05-07,7,19,19
2013-05-08,7,19,19
2013-05-09,7,19,20
2013-05-10,7,19,25
2013-05-11,7,19,41
2013-05-12,7,19,33
2013-05-13,7,19,27
2013-05-14,7,19,28
2013-05-15,7,19,30
2013-05-16,7,19,25
2013-05-17,7,19,18
2013-05-18,7,19,29
2013-05-19,7,19,30
2013-05-20,7,19,18
2013-05-21,7,19,28
2013-05-22,7,19,24
2013-05-23,7,19,24
2013-05-24,7,19,25
2013-05-25,7,19,30
2013-05-26,7,19,32
2013-05-27,7,19,28
2013-05-28,7,19,27
2013-05-29,7,19,25
2013-05-30,7,19,21
2013-05-31,7,19,28
2013-06-01,7,19,30
2013-06-02,7,19,32
2013-06-03,7,19,22
2013-06-04,7,19,23
2013-06-05,7,19,23
2013-06-06,7,19,27
2013-06-07,7,19,27
2013-06-08,7,19,39
2013-06-09,7,19,31
2013-06-10,7,19,20
2013-06-11,7,19,29
2013-06-12,7,19,22
2013-06-13,7,19,19
2013-06-14,7,19,33
2013-06-15,7,19,39
2013-06-16,7,19,35
2013-06-17,7,19,19
2013-06-18,7,19,23
2013-06-19,7,19,25
2013-06-20,7,19,24
2013-06-21,7,19,27
2013-06-22,7,19,27
2013-06-23,7,19,26
2013-06-24,7,19,29
2013-06-25,7,19,22
2013-06-26,7,19,33
2013-06-27,7,19,17
2013-06-28,7,19,28
2013-06-29,7,19,26
2013-06-30,7,19,34
2013-07-01,7,19,18
2013-07-02,7,19,29
2013-07-03,7,19,29
2013-07-04,7,19,28
2013-07-05,7,19,34
2013-07-06,7,19,39
2013-07-07,7,19,41
2013-07-08,7,19,16
2013-07-09,7,19,29
2013-07-10,7,19,22
2013-07-11,7,19,26
2013-07-12,7,19,26
2013-07-13,7,19,30
2013-07-14,7,19,36
2013-07-15,7,19,24
2013-07-16,7,19,31
2013-07-17,7,19,23
2013-07-18,7,19,32
2013-07-19,7,19,36
2013-07-20,7,19,44
2013-07-21,7,19,28
2013-07-22,7,19,12
2013-07-23,7,19,32
2013-07-24,7,19,31
2013-07-25,7,19,25
2013-07-26,7,19,28
2013-07-27,7,19,24
2013-07-28,7,19,36
2013-07-29,7,19,28
2013-07-30,7,19,25
2013-07-31,7,19,23
2013-08-01,7,19,24
2013-08-02,7,19,23
2013-08-03,7,19,32
2013-08-04,7,19,26
2013-08-05,7,19,25
2013-08-06,7,19,12
